Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,-0.0100928530626795,-8.48766786223088E-05,0.0417109438407734,0,0,0,1.70037419863104,0.011026305690898,1.15603196806844E-08,0.000185395732857203,0.0172159470283866,-8.11570230368693E-09,0.0151809445338661,0,0,0,0,0,0,package://DuckDuck/meshes/base.STL,1,1,1,1,0,0,0,0,0,0,package://DuckDuck/meshes/base.STL,,body_shell-2;body-1;6010-36-5;6010-36-6;4310-36-12,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_hip_yaw,-0.0148415027804522,-1.42278207764107E-05,0.00518098759586441,0,0,0,0.22770651071542,0.00016064594987398,-1.05844380132886E-08,2.79494697437767E-06,0.000122883197379238,5.01180502056662E-08,0.000114845036646105,0,0,0,0,0,0,package://DuckDuck/meshes/left_hip_yaw.STL,1,1,1,1,0,0,0,0,0,0,package://DuckDuck/meshes/left_hip_yaw.STL,,hip_yaw_roll_link-1;6010-36-4,left_hip_yaw,axis_left_hip_yaw,left_hip_yaw_joint,revolute,0,0.04,0,0,0,0,base,0,0,1,0,0,0,0,,,,,,,,
left_hip_roll,0.000168686556307626,0.0732538542750958,-1.42428991109084E-05,0,0,0,0.22746544778837,0.000139061664775468,9.72203682012483E-07,-3.27718468280223E-09,0.000154215112847962,5.57863354309883E-08,0.000132221036670331,0,0,0,0,0,0,package://DuckDuck/meshes/left_hip_roll.STL,1,1,1,1,0,0,0,0,0,0,package://DuckDuck/meshes/left_hip_roll.STL,,hip_roll_pitch_link-1;6010-36-3,left_hip_roll,axis_left_hip_roll,left_hip_roll_joint,revolute,0,0,0,0,0,0,left_hip_yaw,1,0,0,0,0,0,0,,,,,,,,
left_hip_pitch,-3.32202824204654E-16,0.0845594117245176,-0.125225619873394,0,0,0,0.24023854356995,0.000225138484662056,-4.43280210739743E-22,-1.35357677623209E-19,0.000288595828376715,3.51421674682321E-20,0.000123129101652142,0,0,0,0,0,0,package://DuckDuck/meshes/left_hip_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://DuckDuck/meshes/left_hip_pitch.STL,,calf-1;6010-36-2,left_hip_pitch,axis_left_hip_pitch,left_hip_pitch_joint,revolute,0,0,0,0,0,0,left_hip_roll,0,1,0,0,0,0,0,,,,,,,,
left_knee_pitch,-3.12005691558595E-16,-0.00857325265941739,-0.127010278601144,0,0,0,0.232718078417979,0.000202660360914128,6.13649057241039E-21,-1.26670406604961E-19,0.000249803523853592,4.09634684632911E-20,0.000106783585605481,0,0,0,0,0,0,package://DuckDuck/meshes/left_knee_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://DuckDuck/meshes/left_knee_pitch.STL,,thigh-1;6010-36-1,left_knee_pitch,axis_left_hip_pitch,left_knee_pitch_joint,revolute,0,0.0936181760425075,-0.14,0,0,0,left_hip_pitch,0,1,0,0,0,0,0,,,,,,,,
left_ankle_pitch,0.0165320915802277,0.000878638979678964,-0.0350036570544409,0,0,0,0.0934205516990418,4.08203466514556E-05,1.35770948841666E-06,3.73111146640576E-07,0.000143785268215984,-2.85203021993322E-06,0.000109322370322,0,0,0,0,0,0,package://DuckDuck/meshes/left_ankle_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://DuckDuck/meshes/left_ankle_pitch.STL,,right_foot-1,left_ankle_pitch,axis_left_ankle_pitch,left_ankle_pitch_joint,revolute,0,0,-0.14,0,0,0,left_knee_pitch,0,1,0,0,0,0,0,,,,,,,,
right_hip_yaw,-0.0148415027804522,-1.4227820776147E-05,0.00518098759586436,0,0,0,0.22770651071542,0.00016064594987398,-1.05844380133239E-08,2.79494697437761E-06,0.000122883197379238,5.01180502056588E-08,0.000114845036646105,0,0,0,0,0,0,package://DuckDuck/meshes/right_hip_yaw.STL,1,1,1,1,0,0,0,0,0,0,package://DuckDuck/meshes/right_hip_yaw.STL,,hip_yaw_roll_link-2;6010-36-7,right_hip_yaw,axis_right_hip_yaw,right_hip_yaw_joint,revolute,0,-0.04,0,0,0,0,base,0,0,1,0,0,0,0,,,,,,,,
right_hip_roll,0.000168686556307084,-0.073253854275096,1.42428991107141E-05,0,0,0,0.22746544778837,0.000139061664775468,-9.72203682012506E-07,3.27718468277945E-09,0.000154215112847962,5.57863354310647E-08,0.000132221036670331,0,0,0,0,0,0,package://DuckDuck/meshes/right_hip_roll.STL,1,1,1,1,0,0,0,0,0,0,package://DuckDuck/meshes/right_hip_roll.STL,,hip_roll_pitch_link-2;6010-36-8,right_hip_roll,axis_right_hip_roll,right_hip_roll_joint,revolute,0,0,0,0,0,0,right_hip_yaw,1,0,0,0,0,0,0,,,,,,,,
right_hip_pitch,9.8006072213064E-17,-0.0845594117245176,-0.125225619873394,0,0,0,0.24023854356995,0.000225138484662056,-5.10276734197436E-20,-1.59794603006488E-19,0.000288595828376715,-2.41601703029954E-20,0.000123129101652142,0,0,0,0,0,0,package://DuckDuck/meshes/right_hip_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://DuckDuck/meshes/right_hip_pitch.STL,,calf-2;6010-36-9,right_hip_pitch,axis_right_hip_pitch,right_hip_pitch_joint,revolute,0,0,0,0,0,0,right_hip_roll,0,-1,0,0,0,0,0,,,,,,,,
right_knee_pitch,-1.85650662362224E-16,0.00857325265941841,-0.127010278601144,0,0,0,0.232718078417979,0.000202660360914127,-3.41749317195182E-20,-1.53656921997374E-19,0.000249803523853592,2.6292760803347E-20,0.000106783585605481,0,0,0,0,0,0,package://DuckDuck/meshes/right_knee_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://DuckDuck/meshes/right_knee_pitch.STL,,thigh-2;6010-36-10,right_knee_pitch,axis_right_knee_pitch,right_knee_pitch_joint,revolute,0,-0.0936181760425084,-0.14,0,0,0,right_hip_pitch,0,-1,0,0,0,0,0,,,,,,,,
right_ankle_pitch,0.0165320706873633,-0.000878627774280077,-0.0350036769927607,0,0,0,0.0934206054212803,4.08203779126198E-05,-1.35771959946846E-06,3.73028599539108E-07,0.00014378533207983,2.85193277907882E-06,0.000109322408669691,0,0,0,0,0,0,package://DuckDuck/meshes/right_ankle_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://DuckDuck/meshes/right_ankle_pitch.STL,,left_foot-1,right_ankle_pitch,axis_right_ankle_pitch,right_ankle_pitch_joint,revolute,0,0,-0.14,0,0,0,right_knee_pitch,0,-1,0,0,0,0,0,,,,,,,,
neck_pitch,2.35922392732846E-16,-0.00249999999999993,0.0500927287975885,0,0,0,0.0944141515929346,5.98227661229977E-05,8.64520632238252E-21,-3.32476920708994E-20,5.75228750179582E-05,-1.13915264865179E-20,3.40590799851078E-05,0,0,0,0,0,0,package://DuckDuck/meshes/neck_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://DuckDuck/meshes/neck_pitch.STL,,neck_down-1,neck_pitch,axis_neck_pitch,neck_pitch_joint,revolute,0.0775,0,0.10887,0,0,0,base,0,1,0,0,0,0,0,,,,,,,,
neck_roll,5.55111512312578E-17,9.10729824887824E-18,0.025398197821265,0,0,0,0.0554895568861581,3.52155621202351E-05,1.7617450740462E-20,-3.7604807612615E-20,2.9525444201718E-05,-6.05181071715776E-21,9.34760082952307E-06,0,0,0,0,0,0,package://DuckDuck/meshes/neck_roll.STL,1,1,1,1,0,0,0,0,0,0,package://DuckDuck/meshes/neck_roll.STL,,neck_up-2,neck_roll,axis_neck_roll,neck_roll_joint,revolute,0,-0.0025,0.0775,0,0,0,neck_pitch,-1,0,0,0,0,0,0,,,,,,,,
neck_yaw,-0.00601691442032241,1.04083408558608E-17,0.0242972736541135,0,0,0,1.36489294645362,0.00264611796494262,-7.22317613024855E-18,-6.37095515701376E-05,0.00458756210789547,4.40746799198594E-19,0.00671153515827188,0,0,0,0,0,0,package://DuckDuck/meshes/neck_yaw.STL,1,1,1,1,0,0,0,0,0,0,package://DuckDuck/meshes/neck_yaw.STL,,head-1,neck_yaw,axis_neck_yaw,neck_yaw_joint,revolute,0,0,0.061,0,0,0,neck_roll,0,0,1,0,0,0,0,,,,,,,,
